iter	Passed	Remaining
0	1	112
1	2	107
2	3	100
3	3	92
4	4	91
5	5	89
6	6	88
7	7	86
8	11	114
9	13	122
10	14	119
11	16	118
12	17	116
13	18	114
14	20	113
15	21	111
16	22	109
17	50	228
18	51	218
19	52	209
20	53	202
21	54	194
22	61	207
23	63	200
24	64	193
25	65	186
26	66	180
27	68	175
28	69	169
29	70	164
30	73	164
31	76	162
32	77	157
33	78	153
34	83	155
35	85	151
36	86	147
37	89	146
38	93	145
39	94	141
40	95	137
41	95	132
42	97	128
43	98	125
44	99	121
45	100	118
46	104	117
47	107	116
48	108	113
49	110	110
50	111	107
51	112	104
52	113	101
53	115	98
54	115	94
55	116	91
56	121	91
57	123	89
58	124	86
59	125	83
60	126	81
61	128	78
62	129	75
63	130	73
64	131	70
65	135	69
66	137	67
67	139	65
68	140	63
69	141	60
70	142	58
71	143	55
72	154	57
73	156	54
74	157	52
75	158	49
76	159	47
77	160	45
78	161	43
79	163	40
80	167	39
81	169	37
82	170	34
83	171	32
84	173	30
85	174	28
86	175	26
87	176	24
88	178	22
89	187	20
90	189	18
91	190	16
92	191	14
93	192	12
94	209	11
95	210	8
96	214	6
97	216	4
98	217	2
99	218	0
